Strain,Stress
0,0
6.24999999999976e-06,6.46757811867116e-05
9.37500000007517e-06,4.63616514965696e-05
1.09374999999618e-05,4.46991336773983e-05
1.24999999999995e-05,4.43016871256213e-05
1.40625000000372e-05,4.4198517066299e-05
1.56250000000749e-05,4.41770070569686e-05
1.71874999999616e-05,4.41819025953963e-05
1.87499999999993e-05,4.42026842374529e-05
2.0312500000037e-05,4.42306102758761e-05
2.18750000000747e-05,4.42608061159193e-05
2.34374999999613e-05,4.42912531815337e-05
2.4999999999999e-05,4.43710949695309e-05
2.65625000000367e-05,4.44446913365362e-05
2.81250000000744e-05,4.44820629368173e-05
2.96874999999611e-05,4.45127446997991e-05
3.12499999999988e-05,4.45424451767889e-05
3.28125000000365e-05,4.45731549066274e-05
3.43750000000742e-05,4.46141648038747e-05
3.59374999999609e-05,4.46453446257784e-05
3.90625000000363e-05,4.46966237698903e-05
4.21874999999606e-05,4.47563428860682e-05
4.5312500000036e-05,4.48137688849588e-05
4.84374999999604e-05,4.49125993563422e-05
5.15625000000358e-05,4.4992298204e-05
5.46874999999601e-05,4.50852200962586e-05
5.78125000000355e-05,4.52132789981845e-05
6.09374999999599e-05,4.53040335615694e-05
6.40625000000353e-05,4.53686165598123e-05
6.71874999999597e-05,4.54450221326374e-05
7.03125000000351e-05,4.55228268463626e-05
7.34374999999594e-05,4.5586598551973e-05
7.65625000000348e-05,4.56473033621929e-05
7.96874999999592e-05,4.57056575234007e-05
8.28125000000346e-05,4.57632537768477e-05
8.59374999999589e-05,4.58401604956797e-05
8.90625000000343e-05,4.59119060366781e-05
9.53125000000341e-05,4.60445709361975e-05
0.000101562500000034,4.63986841776815e-05
0.000107812500000034,4.67431706703308e-05
0.000114062500000033,4.70148424268925e-05
0.000120312500000033,4.71561804883036e-05
0.000126562500000033,4.72854176736151e-05
0.000132812500000033,4.74232434234731e-05
0.000139062500000032,4.75488757888561e-05
0.000145312500000032,4.76766772863761e-05
0.000151562500000032,4.78376242404573e-05
0.000157812500000032,4.79794906086136e-05
0.000164062500000031,4.81821486901587e-05
0.000170312500000031,4.83675460788689e-05
0.000176562500000031,4.85703162182938e-05
0.000182812500000031,4.87134343950433e-05
0.000189062500000031,4.89233735816516e-05
0.00019531250000003,4.91781773935996e-05
0.00020156250000003,4.93576843513973e-05
0.00021406250000003,4.96483486733926e-05
0.000226562500000029,4.99951454143352e-05
0.000239062500000029,5.05508887652926e-05
0.000251562500000028,5.10403979417548e-05
0.000264062500000028,5.14590455310869e-05
0.000276562500000027,5.17886326685092e-05
0.000289062500000027,5.20743501554362e-05
0.000301562500000026,5.24091201879034e-05
0.000314062500000026,5.30213367911456e-05
0.000326562500000025,5.34238394163037e-05
0.000339062500000025,5.38515349074561e-05
0.000351562500000024,5.42053922033934e-05
0.000364062500000024,5.50072676009097e-05
0.000376562500000023,5.53659910398519e-05
0.000389062500000023,5.57620844019898e-05
0.000401562500000022,5.60752977846161e-05
0.000414062500000022,5.64035550718323e-05
0.000426562500000021,5.6843134851322e-05
0.000439062500000021,5.72083772585011e-05
0.00045156250000002,5.78699821805589e-05
0.00046406250000002,5.84183247315032e-05
0.00047656250000002,5.89062373332015e-05
0.000489062500000019,5.92758114521563e-05
0.000501562500000018,5.97642847797997e-05
0.000514062500000018,6.01381405566582e-05
0.000526562500000018,6.06651468776519e-05
0.000539062500000017,6.11008452871355e-05
0.000551562500000017,6.15573191029507e-05
0.000564062500000016,6.19809916314907e-05
0.000576562500000016,6.24197420154996e-05
0.000589062500000015,6.28486529382491e-05
0.000601562500000015,6.32950055470101e-05
0.000614062500000014,6.40067018642448e-05
0.000626562500000014,6.46161582768205e-05
0.000639062500000013,6.52358154857274e-05
0.000651562500000013,6.5943180076299e-05
0.000664062500000012,6.654365971697e-05
0.000676562500000012,6.69349689471043e-05
0.000689062500000011,6.73233111885136e-05
0.000701562500000011,6.76981757650112e-05
0.00071406250000001,6.82068371807162e-05
0.00072656250000001,6.88179333806002e-05
0.000739062500000009,6.93351016990067e-05
0.000751562500000009,6.9764639062292e-05
0.000764062500000008,7.03308335340395e-05
0.000776562500000008,7.08506217596129e-05
